year,latitude,longitude,aerosol
1850,-88.5,18.1,0.0212
1850,-88.5,19.4,0.0212
1850,-88.5,20.6,0.0212
1850,-88.5,21.9,0.0212
1850,-88.5,23.1,0.0212
1850,-88.5,24.4,0.0214
1850,-88.5,25.6,0.0215
1850,-88.5,26.9,0.0217
1850,-88.5,28.1,0.0219
1850,-88.5,29.4,0.022
1850,-88.5,30.6,0.0222
1850,-88.5,31.9,0.0223
1850,-88.5,33.1,0.0225
1850,-88.5,34.4,0.0226
1850,-88.5,35.6,0.0227
1850,-88.5,36.9,0.0227
1850,-88.5,38.1,0.0227
1850,-88.5,39.4,0.0227
1850,-88.5,40.6,0.0226
1850,-88.5,41.9,0.0226
1850,-88.5,43.1,0.0226
1850,-88.5,44.4,0.0226
1850,-88.5,45.6,0.0226
1850,-88.5,46.9,0.0226
1850,-88.5,48.1,0.0226
1850,-88.5,49.4,0.0226
1850,-88.5,50.6,0.0226
1850,-88.5,51.9,0.0226
1850,-88.5,53.1,0.0226
1850,-88.5,54.4,0.0226
1850,-88.5,55.6,0.0226
1850,-88.5,56.9,0.0226
1850,-88.5,58.1,0.0226
1850,-88.5,59.4,0.0226
1850,-88.5,60.6,0.0226
1850,-88.5,61.9,0.0226
1850,-88.5,63.1,0.0226
1850,-88.5,64.4,0.0226
1850,-88.5,65.6,0.0226
1850,-88.5,66.9,0.0227
1850,-88.5,68.1,0.0227
1850,-88.5,69.4,0.0227
1850,-88.5,70.6,0.0227
1850,-88.5,71.9,0.0227
1850,-88.5,73.1,0.0227
1850,-88.5,74.4,0.0227
1850,-88.5,75.6,0.0227
1850,-88.5,76.9,0.0227
1850,-88.5,78.1,0.0227
1850,-88.5,79.4,0.0227
1850,-88.5,80.6,0.0219
1850,-88.5,81.9,0.0219
1850,-88.5,83.1,0.0219
1850,-88.5,84.4,0.0219
1850,-88.5,85.6,0.0219
1850,-88.5,86.9,0.0219
1850,-88.5,88.1,0.0219
1850,-88.5,89.4,0.0219
1850,-88.5,90.6,0.0218
1850,-88.5,91.9,0.0218
1850,-88.5,93.1,0.0218
1850,-88.5,94.4,0.0218
1850,-88.5,95.6,0.0218
1850,-88.5,96.9,0.0218
1850,-88.5,98.1,0.0218
1850,-88.5,99.4,0.0217
1850,-88.5,100.6,0.0217
1850,-88.5,101.9,0.0217
1850,-88.5,103.1,0.0217
1850,-88.5,104.4,0.0217
1850,-88.5,105.6,0.0217
1850,-88.5,106.9,0.0217
1850,-88.5,108.1,0.0216
1850,-88.5,109.4,0.0216
1850,-88.5,110.6,0.0216
